term,r
1 working memory,0.15815339632175426
2 navigation,0.17290894545454397
3 memory retrieval,-0.006261083267634831
4 language network,-0.04264144538793817
5 object recognition,-0.03736492925033157
6 face recognition,-0.07896463476148627
7 early visual,-0.06328254735592699
