term,r
1 working memory,-0.13206330101284308
2 navigation,-0.0953299289366796
3 memory retrieval,-0.024731760677652974
4 language network,0.02158374910981784
5 object recognition,0.0307954415495443
6 face recognition,0.037309199099073716
7 early visual,0.05692817662580531
