term,r
1 working memory,0.036571098664888044
2 navigation,0.03180984110198881
3 memory retrieval,0.0903196404380291
4 language network,-0.06166719672391645
5 object recognition,-0.05360105932939467
6 face recognition,-0.07871661870269907
7 early visual,-0.028963238782232153
