term,r_pos,r_neg,r_diff
1 working memory,0.036571098664888044,-0.012383489475708784,0.048954588140596826
2 navigation,0.03180984110198881,-0.02080479181930563,0.05261463292129444
3 memory retrieval,0.0903196404380291,-0.07075616650407784,0.16107580694210694
4 language network,-0.06166719672391645,0.030641597823947708,-0.09230879454786416
5 object recognition,-0.05360105932939467,0.05702970593729549,-0.11063076526669016
6 face recognition,-0.07871661870269907,0.03657755809334555,-0.11529417679604462
7 early visual,-0.028963238782232153,0.03192255429680824,-0.06088579307904039
