term,r_pos,r_neg,r_diff
1 working memory,0.15815339632175426,-0.13206330101284308,0.2902166973345973
2 navigation,0.17290894545454397,-0.0953299289366796,0.26823887439122357
3 memory retrieval,-0.006261083267634831,-0.024731760677652974,0.018470677410018142
4 language network,-0.04264144538793817,0.02158374910981784,-0.06422519449775602
5 object recognition,-0.03736492925033157,0.0307954415495443,-0.06816037079987587
6 face recognition,-0.07896463476148627,0.037309199099073716,-0.11627383386055998
7 early visual,-0.06328254735592699,0.05692817662580531,-0.1202107239817323
