term,r
1 working memory,-0.012383489475708784
2 navigation,-0.02080479181930563
3 memory retrieval,-0.07075616650407784
4 language network,0.030641597823947708
5 object recognition,0.05702970593729549
6 face recognition,0.03657755809334555
7 early visual,0.03192255429680824
