roi_index,sub,exp,alpha_M,R_M,D_M,rho_center,D_participation_ratio,D_explained_variance,D_feature
08_body_spatial.0,exp,True,1.965424653513064,0.0,0.0,0.14223177801861434,11.872316683400909,15,5000
09_body_spatial.1,exp,True,1.9494456404008542,0.0,0.0,0.132880244918173,13.512665604898304,15,5000
10_body_spatial.2,exp,True,2.009541346008468,0.0,0.0,0.1274853142262061,14.019861290779462,15,5000
11_body_spatial.3,exp,True,2.0090884244902023,0.0,0.0,0.13192198176639622,13.37932512538256,15,5000
12_body_spatial.4,exp,True,2.0099992650591725,0.0,0.0,0.13026433462264778,13.673572126801728,16,5000
13_body_spatial.5,exp,True,2.01167123168553,0.0,0.0,0.13115437886517115,13.144498457473222,16,5000
14_body_spatial.6,exp,True,2.051238930965191,0.0,0.0,0.14085923500577063,12.905467129934257,16,5000
15_body_spatial.7,exp,True,2.0506074184615732,0.0,0.0,0.1540799187679016,11.521373953701186,16,5000
16_body_spatial.8,exp,True,1.9844876773458155,0.0,0.0,0.15750496867448227,11.10471274147816,16,5000
17_body_spatial.9,exp,True,1.9593697153372343,0.0,0.0,0.17037423426270146,10.054379911460446,16,5000
18_body_spatial.10,exp,True,2.0050634815731154,0.0,0.0,0.16863754848455612,9.852579154497446,16,5000
19_body_spatial.11,exp,True,2.0021798530220956,0.0,0.0,0.17472100346480599,9.966330046444712,16,5000
20_body_spatial.12,exp,True,1.9936647953295095,0.0,0.0,0.19667342897834086,7.667851943052405,16,5000
21_body_spatial.13,exp,True,1.9077396339798627,0.0,0.0,0.19915882355946343,7.508994638982773,16,5000
22_body_spatial.14,exp,True,1.9973510831160373,0.0,0.0,0.2098310459092164,6.929048912067874,16,5000
23_body_spatial.15,exp,True,1.9802579939151874,0.0,0.0,0.22056076268595104,6.144407453029726,16,5000
24_body_spatial.16,exp,True,1.9935436356148706,0.0,0.0,0.24097043697556822,5.13999832545963,15,5000
25_body_spatial.17,exp,True,2.0185340010882613,0.0,0.0,0.26376794540673065,4.41702391716132,15,5000
26_body_spatial.18,exp,True,1.9883950927802079,0.0,0.0,0.2984608092750495,3.842748749187396,14,5000
27_body_spatial.19,exp,True,1.9651711018095988,0.0,0.0,0.3188811113191252,3.55595832824274,14,5000
28_body_spatial.20,exp,True,2.052667812896516,0.0,0.0,0.34062445624552656,3.2292284656383283,14,5000
29_body_spatial.21,exp,True,2.006953938254405,0.0,0.0,0.3166034427808477,3.4991085082913265,14,5000
