roi_index,sub,exp,alpha_M,R_M,D_M,rho_center,D_participation_ratio,D_explained_variance,D_feature
08_layer_0,exp,True,1.469377354865434,0.49957811888770937,0.815218567629562,0.12448057066973307,14.029218826784987,14,5000
09_layer_1,exp,True,1.4641428907424796,5.598712800734942,0.8041082558323926,0.14340187288100859,12.321730248549514,12,5000
10_layer_2,exp,True,1.6237145677276703,0.17595446932580916,0.8073405156218311,0.11726756439545445,14.803317813650906,15,5000
11_layer_3,exp,True,1.4895204952936112,0.24922191084555873,0.8040333305772375,0.12213381800863753,14.30921315310442,14,5000
12_layer_4,exp,True,1.538015094291406,0.2185544026010137,0.8100354284097572,0.16604822565549854,10.494382942623595,15,5000
13_layer_5,exp,True,1.5232765930101413,0.23767686132712332,0.7983410225900655,0.17552883046348305,10.897230747733365,15,5000
14_layer_6,exp,True,1.5498878468232868,0.2106572385227318,0.8198921749154315,0.12309951677080815,14.858186928152723,16,5000
15_layer_7,exp,True,1.5344729420188026,0.23361197793265331,0.8258674937010599,0.1466250028277662,12.837125394611137,15,5000
16_layer_8,exp,True,1.5059551065944592,0.22420033951252266,0.7825747002497633,0.1210234049427529,15.328213231582405,16,5000
17_layer_9,exp,True,1.478966190246013,0.24746212717421598,0.8006350741938656,0.12690095401020898,15.322751181868101,16,5000
18_layer_10,exp,True,1.5332519440751224,0.23763907448548874,0.8040406674606675,0.1259534419107709,15.284846583995803,17,5000
19_layer_11,exp,True,1.4008914980933496,0.25127522904285404,0.8075894551053754,0.12122438671306668,15.36222266889987,17,5000
20_layer_12,exp,True,1.481134866695429,0.2945863215302972,0.8037669995990984,0.1176937050497515,16.474601584465464,17,5000
21_layer_13,exp,True,1.4757119584427918,0.2791228994103092,0.8133535779679935,0.16303895736958568,11.929587604712413,17,5000
22_layer_14,exp,True,1.4746805428100802,0.3023210478743238,0.8279352336724652,0.1919843685793212,9.602148849359232,12,5000
