ROI_Label,t_stat,p_val,dof,cohen_d,mean_diff,ci95_low,ci95_high,p_val_fdr,significant_fdr,significant
1,-2.9477049470411845,0.00612955773797215,30.13612700631481,-0.932146158713282,-4.5262184,-7.661545983543625,-1.3908908450696567,0.016007364006584757,True,True
2,-2.799128323497852,0.00895822259782649,29.398135949718363,-0.8851621109208816,-3.0122604,-5.211924591488158,-0.8125962825352802,0.019641917564736093,True,True
3,-2.5885703140952376,0.013583855746395038,37.97836464528894,-0.8185778155781113,-3.7161884,-6.622491911569485,-0.8098849500027812,0.02490373553505757,True,True
4,-2.9318200881681773,0.005905640367976231,34.98454268138557,-0.9271229252898489,-3.9234447,-6.640235632971366,-1.2066538628782437,0.016007364006584757,True,True
5,-2.757729211510891,0.009820958782368047,29.952884038561173,-0.8720705441572577,-3.9797115,-6.92713340455151,-1.0322896606340373,0.019641917564736093,True,True
6,-0.8396869007248737,0.40691371198607384,34.21155102478779,-0.2655323166614286,-1.3457546,-4.6020632019406085,1.9105539551144366,0.47116324545755917,False,False
7,-2.0354952243689204,0.05074037658628552,29.92427212366308,-0.6436801203168367,-2.6593208,-5.327779111216541,0.009137448618885102,0.07441921899321877,False,False
8,-3.441026137678745,0.001647161935903447,31.671772103273327,-1.0881479740073983,-4.002344,-6.372515905973709,-1.6321723569657438,0.00905939064746896,True,True
9,-0.24507045952030818,0.8077246094928604,37.882734104292894,-0.07749808464493549,-0.28598785,-2.6486185962053477,2.076642888197535,0.8458047780852848,False,False
10,1.4963228656664787,0.14297548528475176,37.33730867395526,0.47317883288131773,1.8730431,-0.662498467062429,4.408584587667898,0.1850270986037964,False,False
11,0.1958069604470927,0.8458047780852848,37.9932714891028,0.061919597933876434,0.26161957,-2.443208724988583,2.9664478607307707,0.8458047780852848,False,False
12,3.0706582289484476,0.003971605875967413,37.309251798334486,0.9710273987949595,4.4851704,1.5264313191215773,7.443909409638188,0.014562554878547181,True,True
13,1.2033048104984347,0.23643862988383663,37.30828662580792,0.38051839206123456,1.4128323,-0.9655109498045027,3.7911754700681746,0.2889805476358003,False,False
14,-0.7223460985903001,0.4745471165206391,37.63048147945102,-0.22842589125987608,-0.9591484,-3.6480544325307918,1.729757618565948,0.522001828172703,False,False
15,-2.437637087318588,0.019721740723583823,36.90533078527851,-0.7708485236837267,-2.7583618,-5.0513429689570035,-0.4653806638554969,0.030991306851346007,True,True
16,-3.584523068450236,0.0010479794529967997,33.92864724424459,-1.1335257135957835,-5.263422,-8.247749056348646,-2.2790949683095567,0.007685182655309865,True,True
17,-2.485363624918696,0.018700461794563104,30.2024292099212,-0.7859409724324503,-2.758072,-5.023797334510207,-0.49234646431791784,0.030991306851346007,True,True
18,-3.2551881464952444,0.0027759821705631966,30.466338611743495,-1.029380885176055,-3.4730206,-5.650561154856624,-1.2954799523211102,0.012214321550478066,True,True
19,-1.9161611273528094,0.0643766620619409,31.78010482664159,-0.6059433530891296,-2.4688072,-5.093931316213421,0.15631687529545202,0.08851791033516873,False,False
20,-2.881875702743351,0.006548467093602855,36.954709851869545,-0.9113291239751087,-5.5742893,-9.493629166477888,-1.6549494773209403,0.016007364006584757,True,True
21,-3.8682750588212946,0.00043307773741161644,36.66823938048408,-1.223255996258206,-5.2114487,-7.942025903553861,-2.4808714353133263,0.004763855111527781,True,True
22,-4.1837194677905565,0.00019991305672204614,32.914723399399385,-1.3230082591536143,-5.7029057,-8.476464199139947,-2.9293471106745064,0.004398087247885015,True,True
