term,r
1 working memory,-0.03716658470775161
2 navigation,0.14537071302650786
3 memory retrieval,-0.005045853416889034
4 language network,0.020856004051166516
5 object recognition,-0.014793248014259517
6 face recognition,-0.02294230823200335
7 early visual,0.03855922288055376
