term,r_pos,r_neg,r_diff
1 working memory,0.22745471806666404,-0.0817806933746615,0.30923541144132555
2 navigation,0.03921774349504275,-0.027660581512456043,0.0668783250074988
3 memory retrieval,0.011964744681138761,-0.031555902102503794,0.04352064678364256
4 language network,0.00803584991747597,-0.01446164730929317,0.02249749722676914
5 object recognition,-0.02483621729905401,0.020988283633440345,-0.04582450093249436
6 face recognition,-0.07362538106690349,0.03276163370330149,-0.10638701477020499
7 early visual,-0.018144774109440993,0.022243615272028734,-0.04038838938146973
