term,r
1 working memory,0.2155680808752775
2 navigation,-0.001352640035072526
3 memory retrieval,0.038685485602293485
4 language network,-0.008347290244098252
5 object recognition,-0.014081050280790744
6 face recognition,-0.06916897302176328
7 early visual,0.01571250804907859
