term,r
1 working memory,-0.08793977193348691
2 navigation,-0.0015916012187957849
3 memory retrieval,-0.018459424248930458
4 language network,0.008781110891041707
5 object recognition,-0.012662260799880799
6 face recognition,0.028820285864066448
7 early visual,-0.004318312442557085
