term,r
1 working memory,0.22745471806666404
2 navigation,0.03921774349504275
3 memory retrieval,0.011964744681138761
4 language network,0.00803584991747597
5 object recognition,-0.02483621729905401
6 face recognition,-0.07362538106690349
7 early visual,-0.018144774109440993
