term,r
1 working memory,0.04080189394022175
2 navigation,-0.07926978121601135
3 memory retrieval,0.0021545277703056607
4 language network,-0.02186118904808044
5 object recognition,0.024333556054555925
6 face recognition,0.03825872024091529
7 early visual,0.03728237235846515
