term,r_pos,r_neg,r_diff
1 working memory,-0.03716658470775161,0.04080189394022175,-0.07796847864797336
2 navigation,0.14537071302650786,-0.07926978121601135,0.2246404942425192
3 memory retrieval,-0.005045853416889034,0.0021545277703056607,-0.007200381187194694
4 language network,0.020856004051166516,-0.02186118904808044,0.04271719309924696
5 object recognition,-0.014793248014259517,0.024333556054555925,-0.03912680406881544
6 face recognition,-0.02294230823200335,0.03825872024091529,-0.06120102847291864
7 early visual,0.03855922288055376,0.03728237235846515,0.0012768505220886114
