term,r
1 working memory,-0.0817806933746615
2 navigation,-0.027660581512456043
3 memory retrieval,-0.031555902102503794
4 language network,-0.01446164730929317
5 object recognition,0.020988283633440345
6 face recognition,0.03276163370330149
7 early visual,0.022243615272028734
