filename,stim_id,check,check-n,strategy,fen,total_pieces,legal_moves,visual,short_opening,correct,stockfish_top_5,stockfish_eval,lc0_top_5
C1_Images_Frombeautiful.png,0,1,3,0,2r2r1k/1b5p/p2Q1q2/3p1P2/3Pp3/8/6RP/6RK w - - 0 1,16,38,0,0,g2g8,"['Rg8', 'Qf4', 'Qg3', 'Qe6', 'Qa3']","[3, None, None, None, None]","['Rg8', 'Qg3', 'Qb8', 'Qd8', 'Rg5']"
C1_Images_SteinitzNN.png,1,1,3,0,r2q2kr/1p4p1/p1p2R1p/5p2/7P/P3Q3/1P4P1/7K w - - 0 1,17,40,1,0,e3e6,"['Qe6', 'Rf5', 'Re6', 'Qb3', 'Rg6']","[3, None, None, None, None]","['Qe6', 'Re6', 'Rf5', 'Qb3', 'b4']"
C1_Images_WinterFriede(Reversed).png,2,1,4,0,1k6/ppp3pp/3p1b2/1P1P1Q2/3qr3/2R5/P1R4P/1K6 w - - 0 1,18,41,2,0,f5c8,"['Qc8', 'Rc1', 'a3', 'Qf1', 'Qh3']","[4, None, None, None, None]","['Qc8', 'a3', 'Qf3', 'Rc1', 'Qf1']"
C2_Images_KekhayovPetrov(Reversed).png,3,1,4,1,1k6/1b1q2p1/2R4p/2QB4/4Pp2/P4P2/6rP/KR6 w - - 0 1,16,47,3,0,b1b7,"['Rb7', 'Re6', 'Qf8', 'Ra6', 'Rb6']","[4, 5, 6, 8, None]","['Rb7', 'Ra6', 'Rb6', 'Rd6', 'Re6']"
C2_Images_KrauseMeinhardt.png,4,1,4,1,4rk2/1Q3p1r/1p2bB2/p5Rp/P5pP/6P1/1Pq5/3R2K1 w - - 0 1,19,50,4,0,b7e7,"['Qe7', 'Be7', 'Re1', 'Rd6', 'Rd8']","[4, 4, None, None, None]","['Be7', 'Re1', 'Rf1', 'Qe7', 'Rd8']"
C2_Images_Replacement4.png,5,1,4,1,6k1/1p1R1p1p/p5p1/P3n3/5N1P/2P2Q2/5PPK/4rq2 w - - 0 1,18,36,5,0,d7d8,"['Rd8', 'Qb7', 'Qd5', 'Rd3', 'Qh3']","[4, None, None, None, None]","['Rd8', 'Qb7', 'Qd5', 'Qh3', 'Nd5']"
C2_Images_SkujaRozenbergs(Reversed).png,6,1,4,1,k1n2br1/p1r5/QpP1pp2/3P4/3P3p/2P2PBq/3N1P1P/R3R1K1 w - - 0 1,24,39,6,0,a6c8,"['Qc8', 'Re6', 'Nf1', 'e6', 'Qa2']","[4, None, None, None, None]","['Qc8', 'Re6', 'Qf1', 'Nc4', 'e6']"
C3_Images_KazicVukovic(Reversed).png,7,1,4,2,rk2q2r/p1p2p1p/B1p3p1/3N1b2/3Npp2/5P2/PPP3PP/1K1Rb2R w - - 0 1,26,41,7,0,d5e7,"['Ne7', 'Nf6', 'Nf4', 'e4', 'Nf5']","[4, None, None, None, None]","['Ne7', 'Nf6', 'Re1', 'e4', 'Nc6']"
C3_Images_MalininAndreev(Reversed).png,8,1,4,2,1k1r4/8/R1p1p2b/1NN1qp2/8/1P3B2/2PP1K2/8 w - - 0 1,15,38,8,0,a6a8,"['Ra8', 'Rb6', 'Kf1', 'Nd3', 'b4']","[4, 5, None, None, None]","['Rb6', 'Ra8', 'Kf1', 'Nb7', 'Bh1']"
C3_Images_PodzerovKuntzevic(Reversed).png,9,1,4,2,k2r3r/pbQ1n2p/7b/2pNN2q/5Bp1/8/PPP4P/1KR1R3 w - - 0 1,22,47,9,0,c7b8,"['Qb8', 'Nb6', 'Nf6', 'Qe7', 'Ne7']","[4, None, None, None, None]","['Qb8', 'Nb6', 'Nf6', 'Qe7', 'Ne7']"
C3_Images_Replacement3.png,10,1,4,2,1rr4k/3qN1b1/2p2n1p/3p1Q2/1P1P3N/2P3P1/5P1P/6K1 w - - 0 1,19,34,10,0,f5g6,"['Ng6', 'Qc2', 'Qd3', 'Qb1', 'Qf4']","[4, None, None, None, None]","['Ng6', 'Ng6', 'Qd7', 'Qd3', 'Qc2']"
C3_Images_Replacement5.png,11,1,4,2,2r1rq2/4b2k/1p2BBbp/p3pQ2/4N3/1P2P3/5PPP/6K1 w - - 0 1,20,35,11,0,e4g5,"['Ng5', 'Bg8', 'h3', 'f4', 'h4']","[4, 4, None, None, None]","['Bg8', 'Bc8', 'Ng5', 'h4', 'f3']"
C3_Images_StudybyErcoledelRio(Reversed).png,12,1,4,2,1kr1q3/pp6/1bp5/4N3/5Q1R/8/PP6/K7 w - - 0 1,13,41,12,0,e5d7,"['Nd7', 'Nd3', 'Rh1', 'Nc4', 'Qf5']","[4, None, None, None, None]","['Nd7', 'Nc4', 'Nd3', 'Qf5', 'Nf3']"
C3_Images_TylorWinter.png,13,1,4,2,3r2k1/pb1q1pp1/1p2pb1p/8/3N4/P2QB3/1P3PPP/1Br1R1K1 w - - 0 1,23,43,13,0,d3h7,"['Qh7', 'Rc1', 'Bc1', 'Rf1', 'Kf1']","[4, None, None, None, None]","['Qh7', 'Rc1', 'Bc1', 'Nf3', 'Bd2']"
C4_Images_BrankaWittwer(Reversed).png,14,1,4,3,kr4r1/p1pqn1b1/2p1p2p/2Pp2p1/Q2P4/2RB2B1/PP3PPP/1K5R w - - 0 1,26,46,14,0,a4a7,"['Qa7', 'Re1', 'Ra3', 'Rc1', 'Rd1']","[4, None, None, None, None]","['Qa7', 'Ra3', 'Re1', 'Rd1', 'f3']"
