roi_index,sub,exp,alpha_M,R_M,D_M,rho_center,D_participation_ratio,D_explained_variance,D_feature
08_body_spatial.0,exp,True,1.6439964502808693,0.1730727005146978,0.8033629303800491,0.08436691471487373,17.16321533767113,16,5000
09_body_spatial.1,exp,True,1.7592875105782528,0.16362901449221584,0.8205231574131864,0.08517266007510414,17.133409569066373,16,5000
10_body_spatial.2,exp,True,1.7032540030964791,0.1527871413411493,0.8212458841773819,0.07946512987680797,17.43626740217164,16,5000
11_body_spatial.3,exp,True,1.6684346448300642,0.15899475059927098,0.8218227022825026,0.07921624795111647,17.492331920307926,16,5000
12_body_spatial.4,exp,True,1.62447233495671,0.16379577901519835,0.8175618213461069,0.07775155062557484,17.69796632497003,16,5000
13_body_spatial.5,exp,True,1.6625121096271107,0.1683292815590018,0.799004895585707,0.07571580267081347,17.869944231914257,16,5000
14_body_spatial.6,exp,True,1.6470336109465369,0.1774280814036261,0.8056733744891004,0.07602476832431324,18.031456116000737,16,5000
15_body_spatial.7,exp,True,1.6579024263158486,0.17751477739882593,0.8039611041536345,0.07573086886985403,18.01673047021187,16,5000
16_body_spatial.8,exp,True,1.7030858242651128,0.18055598916941204,0.8002762097637269,0.07450163038823375,18.019229023226057,16,5000
17_body_spatial.9,exp,True,1.6599646201355218,0.1876571989683805,0.8009838096697406,0.07398676332682878,18.117723257265105,16,5000
18_body_spatial.10,exp,True,1.6389658897449038,0.1924683872813209,0.8199828466161977,0.07438714053190791,18.294381823078687,16,5000
19_body_spatial.11,exp,True,1.6326975974234788,0.19583668204949,0.8256729230604192,0.07585178151000188,18.24844334544441,16,5000
20_body_spatial.12,exp,True,1.5218784461063841,0.2005805395838995,0.8171997759627176,0.07544144011519269,18.342524015461336,16,5000
21_body_spatial.13,exp,True,1.5415101812928815,0.20695115920491552,0.8066897660439807,0.0740252136196025,18.5634207107733,17,5000
22_body_spatial.14,exp,True,1.5406391656625946,0.2174409553462004,0.8108078368330828,0.07234260930992985,18.835008262140324,17,5000
23_body_spatial.15,exp,True,1.5765624016470494,0.22437155316797472,0.8009207869005743,0.07375607883582727,18.873408567254312,17,5000
24_body_spatial.16,exp,True,1.5141625115161177,0.23197981885268168,0.8136210819417284,0.07397949865455718,19.067060677033023,17,5000
25_body_spatial.17,exp,True,1.5376547051217446,0.23773684470857112,0.8010601308359371,0.07129134437678288,19.291764924924653,17,5000
26_body_spatial.18,exp,True,1.5332717947036878,0.2455018166911207,0.7984723401496583,0.0697293882718833,19.492554490308375,17,5000
27_body_spatial.19,exp,True,1.5527496987044738,0.2513545452689666,0.8063383909703115,0.07245029237034559,19.423455511555417,17,5000
28_body_spatial.20,exp,True,1.5687622152050549,0.26067738571477606,0.80822556299714,0.0734788682183938,19.49485959207033,17,5000
29_body_spatial.21,exp,True,1.5137661780829343,0.269468415035882,0.8101471664072601,0.07260235561052943,19.748819826155167,17,5000
30_body_spatial.22,exp,True,1.4523810222076692,0.2743008709602105,0.8082835429643573,0.07122713115597658,19.918189578019906,17,5000
31_body_spatial.23,exp,True,1.4834686507489883,0.28216672045923763,0.8038617756199715,0.07038080249345968,20.0335313070681,17,5000
32_body_spatial.24,exp,True,1.4530734493296598,0.2883812741498313,0.8254411776841903,0.06967254947085402,20.18277103383186,18,5000
33_body_spatial.25,exp,True,1.3978076493922902,0.3129166528535693,0.8152471904234101,0.0771368954755966,19.943601132530816,18,5000
34_body_spatial.26,exp,True,1.3992204450239207,0.31819355342600886,0.8315884840725394,0.07874225426365439,20.07203165421641,18,5000
35_body_spatial.27,exp,True,1.416400679027047,0.3234879772428893,0.8058714734295755,0.08117144194293814,19.931114763952316,18,5000
36_body_spatial.28,exp,True,1.4195708152054105,0.33020309878522464,0.8275924114483629,0.08047477877944069,20.128022284241585,18,5000
37_body_spatial.29,exp,True,1.4074017705091912,0.33727219906903444,0.8039351206856299,0.08121930877475263,20.25996073019605,18,5000
38_body_spatial.30,exp,True,1.4188099412585544,0.3443556313105297,0.8129543940268986,0.08040153969138109,20.38666367557335,19,5000
39_body_spatial.31,exp,True,1.4116842568207544,0.35253145137414077,0.8028469265695886,0.07800525124843434,20.76524867937941,19,5000
40_body_spatial.32,exp,True,1.3803341776073526,0.35716571893244664,0.8072341438430879,0.074445251565928,21.193038401498715,19,5000
41_body_spatial.33,exp,True,1.3404196853770438,0.37089137317873055,0.8195209491137965,0.07210989203370134,21.758731529168536,20,5000
42_body_spatial.34,exp,True,1.338846018477982,0.3849161884417216,0.8067133803492119,0.07126551122179232,21.930814592128534,20,5000
43_body_spatial.35,exp,True,1.3826017685242058,0.40500936129472487,0.8161834141860416,0.07243491500343024,22.321836919526834,20,5000
