key_Instrc.keys,key_Instrc.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,key_Instrc2.keys,key_Instrc2.rt,key_resp_L.keys,key_resp_L.rt,spacebarpress.keys,spacebarpress.rt,consent_resp.keys,consent_resp.rt,key_resp_2.keys,key_resp_2.rt,checksequence.text,Mousetocontinue.x,Mousetocontinue.y,Mousetocontinue.leftButton,Mousetocontinue.midButton,Mousetocontinue.rightButton,Mousetocontinue.time,Mousetocontinue.clicked_name,key_resp_3.keys,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Experiment_try,Checkmate
space,5.056,19,1,2024-01-07_12h14.05.773,FamTaskFinal,2022.2.4,Win32,47.98464491,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19,1,2024-01-07_12h14.05.773,FamTaskFinal,2022.2.4,Win32,47.98464491,space,42.841,,,,,,,,,,,,,,,,,,,,,,,,,
,,19,1,2024-01-07_12h14.05.773,FamTaskFinal,2022.2.4,Win32,47.98464491,,,space,68.324,,,,,,,,,,,,,,,,,,,,,,,
,,19,1,2024-01-07_12h14.05.773,FamTaskFinal,2022.2.4,Win32,47.98464491,,,,,space,25.035,,,,,,,,,,,,,,,,,,,,,
,,19,1,2024-01-07_12h14.05.773,FamTaskFinal,2022.2.4,Win32,47.98464491,,,,,,,space,52.049,,,,,,,,,,,,,,,,,,,
,,19,1,2024-01-07_12h14.05.773,FamTaskFinal,2022.2.4,Win32,47.98464491,,,,,,,,,space,105.312,,,,,,,,,,,,,,,,,
,,19,1,2024-01-07_12h14.05.773,FamTaskFinal,2022.2.4,Win32,47.98464491,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,19,1,2024-01-07_12h14.05.773,FamTaskFinal,2022.2.4,Win32,47.98464491,,,,,,,,,,,,-0.097222222,-0.395833333,1.0,0.0,0.0,56.263,endtext,space,6.006,0.0,0.0,0.0,37.0,1.0,NC5_Images_EasyPosition2(Nomate).png,no
,,19,1,2024-01-07_12h14.05.773,FamTaskFinal,2022.2.4,Win32,47.98464491,,,,,,,,,,,,-0.097222222,-0.395833333,1.0,0.0,0.0,51.346,endtext,space,2.948,0.0,1.0,1.0,33.0,1.0,NC3_Images_Replacement5(Nomate).png,no
,,19,1,2024-01-07_12h14.05.773,FamTaskFinal,2022.2.4,Win32,47.98464491,,,,,,,,,,,Qh6,0.06712963,-0.395833333,1.0,0.0,0.0,59.575,endtext,space,1.632,0.0,2.0,2.0,1.0,1.0,C1_Images_SteinitzNN.png,Yes
,,19,1,2024-01-07_12h14.05.773,FamTaskFinal,2022.2.4,Win32,47.98464491,,,,,,,,,,,,0.068287037,-0.399305556,1.0,0.0,0.0,55.74,endtext,space,1.366,0.0,3.0,3.0,15.0,1.0,C4_Images_IvanchukSavchenko(Reversed).png,Yes
,,19,1,2024-01-07_12h14.05.773,FamTaskFinal,2022.2.4,Win32,47.98464491,,,,,,,,,,,Qd7,0.077546296,-0.40162037,1.0,0.0,0.0,36.68,endtext,space,1.136,0.0,4.0,4.0,2.0,1.0,C1_Images_WinterFriede(Reversed).png,Yes
,,19,1,2024-01-07_12h14.05.773,FamTaskFinal,2022.2.4,Win32,47.98464491,,,,,,,,,,,,,,,,,,,space,2.802,0.0,5.0,5.0,10.0,1.0,C3_Images_StudybyErcoledelRio(Reversed).png,Yes
,,19,1,2024-01-07_12h14.05.773,FamTaskFinal,2022.2.4,Win32,47.98464491,,,,,,,,,,,Nf6,0.077546296,-0.409722222,1.0,0.0,0.0,48.52,endtext,space,1.021,0.0,6.0,6.0,27.0,1.0,NC3_Images_KazicVukovic(Nomate)(Reversed).png,no
,,19,1,2024-01-07_12h14.05.773,FamTaskFinal,2022.2.4,Win32,47.98464491,,,,,,,,,,,,0.076388889,-0.413194444,1.0,0.0,0.0,59.112,endtext,space,1.399,0.0,7.0,7.0,8.0,1.0,C3_Images_MalininAndreev(Reversed).png,Yes
,,19,1,2024-01-07_12h14.05.773,FamTaskFinal,2022.2.4,Win32,47.98464491,,,,,,,,,,,,0.077546296,-0.413194444,1.0,0.0,0.0,57.184,endtext,space,142.757,0.0,8.0,8.0,24.0,1.0,NC2_Images_KrauseMeinhardt(Nomate).png,no
,,19,1,2024-01-07_12h14.05.773,FamTaskFinal,2022.2.4,Win32,47.98464491,,,,,,,,,,,Qh7,,,,,,,,space,2.07,0.0,9.0,9.0,11.0,1.0,C3_Images_TylorWinter.png,Yes
,,19,1,2024-01-07_12h14.05.773,FamTaskFinal,2022.2.4,Win32,47.98464491,,,,,,,,,,,,0.109953704,-0.375,1.0,0.0,0.0,44.598,endtext,space,1.136,0.0,10.0,10.0,23.0,1.0,NC2_Images_KekhayovPetrov(Nomate)(Reversed).png,no
,,19,1,2024-01-07_12h14.05.773,FamTaskFinal,2022.2.4,Win32,47.98464491,,,,,,,,,,,,0.0,-0.412037037,1.0,0.0,0.0,51.131,endtext,space,1.979,0.0,11.0,11.0,34.0,1.0,NC4_Images_BrankaWittwer(Nomate)(Reversed).png,no
,,19,1,2024-01-07_12h14.05.773,FamTaskFinal,2022.2.4,Win32,47.98464491,,,,,,,,,,,,-0.0625,-0.422453704,1.0,0.0,0.0,52.448,endtext,space,1.156,0.0,12.0,12.0,5.0,1.0,C2_Images_SkujaRozenbergs(Reversed).png,Yes
,,19,1,2024-01-07_12h14.05.773,FamTaskFinal,2022.2.4,Win32,47.98464491,,,,,,,,,,,Nc6,0.168981481,-0.365740741,1.0,0.0,0.0,30.074,endtext,space,1.566,0.0,13.0,13.0,7.0,1.0,C3_Images_KazicVukovic(Reversed).png,Yes
,,19,1,2024-01-07_12h14.05.773,FamTaskFinal,2022.2.4,Win32,47.98464491,,,,,,,,,,,Qh7,0.033564815,-0.392361111,1.0,0.0,0.0,18.725,endtext,space,1.857,0.0,14.0,14.0,17.0,1.0,C5_Images_EasyPosition2.png,Yes
,,19,1,2024-01-07_12h14.05.773,FamTaskFinal,2022.2.4,Win32,47.98464491,,,,,,,,,,,Qe7,0.002314815,-0.390046296,1.0,0.0,0.0,37.781,endtext,space,1.381,0.0,15.0,15.0,4.0,1.0,C2_Images_KrauseMeinhardt.png,Yes
,,19,1,2024-01-07_12h14.05.773,FamTaskFinal,2022.2.4,Win32,47.98464491,,,,,,,,,,,,-0.012731481,0.234953704,1.0,0.0,0.0,42.9,endtext,space,1.712,0.0,16.0,16.0,9.0,1.0,C3_Images_PodzerovKuntzevic(Reversed).png,Yes
,,19,1,2024-01-07_12h14.05.773,FamTaskFinal,2022.2.4,Win32,47.98464491,,,,,,,,,,,,,,,,,,,space,2.564,0.0,17.0,17.0,28.0,1.0,NC3_Images_MalininAndreev(Nomate)(Reversed).png,no
,,19,1,2024-01-07_12h14.05.773,FamTaskFinal,2022.2.4,Win32,47.98464491,,,,,,,,,,,Ng6,0.011574074,-0.398148148,1.0,0.0,0.0,53.305,endtext,space,1.874,0.0,18.0,18.0,32.0,1.0,NC3_Images_Replacement3(Nomate).png,no
,,19,1,2024-01-07_12h14.05.773,FamTaskFinal,2022.2.4,Win32,47.98464491,,,,,,,,,,,Ba6,0.003472222,-0.394675926,1.0,0.0,0.0,37.118,endtext,space,1.486,0.0,19.0,19.0,18.0,1.0,C5_Images_EasyPosition5(Reversed).png,Yes
,,19,1,2024-01-07_12h14.05.773,FamTaskFinal,2022.2.4,Win32,47.98464491,,,,,,,,,,,,,,,,,,,space,15.813,0.0,20.0,20.0,0.0,1.0,C1_Images_Frombeautiful.png,Yes
,,19,1,2024-01-07_12h14.05.773,FamTaskFinal,2022.2.4,Win32,47.98464491,,,,,,,,,,,Nf7,-0.037037037,-0.439814815,1.0,0.0,0.0,23.964,endtext,space,1.198,0.0,21.0,21.0,19.0,1.0,C5_Images_EasyPosition6.png,Yes
,,19,1,2024-01-07_12h14.05.773,FamTaskFinal,2022.2.4,Win32,47.98464491,,,,,,,,,,,Rd8,0.099537037,-0.37037037,1.0,0.0,0.0,48.822,endtext,space,6.024,0.0,22.0,22.0,6.0,1.0,C2_Images_Replacement4.png,Yes
,,19,1,2024-01-07_12h14.05.773,FamTaskFinal,2022.2.4,Win32,47.98464491,,,,,,,,,,,Ng5,0.09837963,-0.395833333,1.0,0.0,0.0,46.585,endtext,space,0.772,0.0,23.0,23.0,13.0,1.0,C3_Images_Replacement5.png,Yes
,,19,1,2024-01-07_12h14.05.773,FamTaskFinal,2022.2.4,Win32,47.98464491,,,,,,,,,,,Rg8,0.096064815,-0.415509259,1.0,0.0,0.0,37.219,endtext,space,1.543,0.0,24.0,24.0,20.0,1.0,NC1_Images_Frombeautiful(Nomate).png,no
,,19,1,2024-01-07_12h14.05.773,FamTaskFinal,2022.2.4,Win32,47.98464491,,,,,,,,,,,Nb6,0.114583333,-0.372685185,1.0,0.0,0.0,59.795,,space,1.526,0.0,25.0,25.0,29.0,1.0,NC3_Images_PodzerovKuntzevic(Nomate)(Reversed).png,no
,,19,1,2024-01-07_12h14.05.773,FamTaskFinal,2022.2.4,Win32,47.98464491,,,,,,,,,,,H,,,,,,,,space,2.458,0.0,26.0,26.0,26.0,1.0,NC2_Images_Replacement4(Nomate).png,no
,,19,1,2024-01-07_12h14.05.773,FamTaskFinal,2022.2.4,Win32,47.98464491,,,,,,,,,,,,-0.010416667,-0.418981481,1.0,0.0,0.0,26.054,endtext,space,1.302,0.0,27.0,27.0,38.0,1.0,NC5_Images_EasyPosition5(Nomate)(Reversed).png,no
,,19,1,2024-01-07_12h14.05.773,FamTaskFinal,2022.2.4,Win32,47.98464491,,,,,,,,,,,,-0.106481481,-0.380787037,1.0,0.0,0.0,43.075,endtext,space,1.241,0.0,28.0,28.0,31.0,1.0,NC3_Images_TylorWinter(Nomate).png,no
,,19,1,2024-01-07_12h14.05.773,FamTaskFinal,2022.2.4,Win32,47.98464491,,,,,,,,,,,,-0.010416667,-0.358796296,1.0,0.0,0.0,49.43,endtext,space,2.128,0.0,29.0,29.0,39.0,1.0,NC5_Images_EasyPosition6(Nomate).png,no
,,19,1,2024-01-07_12h14.05.773,FamTaskFinal,2022.2.4,Win32,47.98464491,,,,,,,,,,,Ng6,-0.009259259,0.0,1.0,0.0,0.0,53.944,endtext,space,1.421,0.0,30.0,30.0,12.0,1.0,C3_Images_Replacement3.png,Yes
,,19,1,2024-01-07_12h14.05.773,FamTaskFinal,2022.2.4,Win32,47.98464491,,,,,,,,,,,,0.011574074,-0.385416667,1.0,0.0,0.0,32.483,endtext,space,1.669,0.0,31.0,31.0,30.0,1.0,NC3_Images_StudybyErcoleDelRio(Nomate)(Reversed).png,no
,,19,1,2024-01-07_12h14.05.773,FamTaskFinal,2022.2.4,Win32,47.98464491,,,,,,,,,,,,0.137731481,-0.366898148,1.0,0.0,0.0,23.665,endtext,space,1.145,0.0,32.0,32.0,21.0,1.0,NC1_Images_SteinitzNN(Nomate).png,no
,,19,1,2024-01-07_12h14.05.773,FamTaskFinal,2022.2.4,Win32,47.98464491,,,,,,,,,,,,-0.016203704,-0.377314815,1.0,0.0,0.0,40.628,endtext,space,1.066,0.0,33.0,33.0,22.0,1.0,NC1_Images_WinterFriede(Nomate)(Reversed).png,no
,,19,1,2024-01-07_12h14.05.773,FamTaskFinal,2022.2.4,Win32,47.98464491,,,,,,,,,,,Rg7,0.041666667,-0.405092593,1.0,0.0,0.0,21.793,endtext,space,0.584,0.0,34.0,34.0,35.0,1.0,NC4_Images_IvanchukSavchenko(Nomate)(Reversed).png,no
