key_Instrc.keys,key_Instrc.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,key_Instrc2.keys,key_Instrc2.rt,key_resp_L.keys,key_resp_L.rt,spacebarpress.keys,spacebarpress.rt,consent_resp.keys,consent_resp.rt,key_resp_2.keys,key_resp_2.rt,checksequence.text,Mousetocontinue.x,Mousetocontinue.y,Mousetocontinue.leftButton,Mousetocontinue.midButton,Mousetocontinue.rightButton,Mousetocontinue.time,Mousetocontinue.clicked_name,key_resp_3.keys,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Experiment_try,Checkmate
space,19.0712,30,1,2024-02-28_19h23.40.043,FamTaskFinal,2022.2.4,Win32,61.34969325,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30,1,2024-02-28_19h23.40.043,FamTaskFinal,2022.2.4,Win32,61.34969325,space,21.0167,,,,,,,,,,,,,,,,,,,,,,,,,
,,30,1,2024-02-28_19h23.40.043,FamTaskFinal,2022.2.4,Win32,61.34969325,,,space,112.0775,,,,,,,,,,,,,,,,,,,,,,,
,,30,1,2024-02-28_19h23.40.043,FamTaskFinal,2022.2.4,Win32,61.34969325,,,,,space,56.819,,,,,,,,,,,,,,,,,,,,,
,,30,1,2024-02-28_19h23.40.043,FamTaskFinal,2022.2.4,Win32,61.34969325,,,,,,,space,8.3336,,,,,,,,,,,,,,,,,,,
,,30,1,2024-02-28_19h23.40.043,FamTaskFinal,2022.2.4,Win32,61.34969325,,,,,,,,,space,35.5826,,,,,,,,,,,,,,,,,
,,30,1,2024-02-28_19h23.40.043,FamTaskFinal,2022.2.4,Win32,61.34969325,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30,1,2024-02-28_19h23.40.043,FamTaskFinal,2022.2.4,Win32,61.34969325,,,,,,,,,,,,-0.04351849,-0.398148148,1.0,0.0,0.0,51.5612,endtext,space,6.8865,0.0,0.0,0.0,7.0,1.0,C3_Images_KazicVukovic(Reversed).png,Yes
,,30,1,2024-02-28_19h23.40.043,FamTaskFinal,2022.2.4,Win32,61.34969325,,,,,,,,,,,Nb6,0.00462963,-0.404629672,1.0,0.0,0.0,52.5693,endtext,space,5.4949,0.0,1.0,1.0,9.0,1.0,C3_Images_PodzerovKuntzevic(Reversed).png,Yes
,,30,1,2024-02-28_19h23.40.043,FamTaskFinal,2022.2.4,Win32,61.34969325,,,,,,,,,,,,0.034259302,-0.400925954,1.0,0.0,0.0,49.6069,endtext,space,3.4069,0.0,2.0,2.0,39.0,1.0,NC5_Images_EasyPosition6(Nomate).png,no
,,30,1,2024-02-28_19h23.40.043,FamTaskFinal,2022.2.4,Win32,61.34969325,,,,,,,,,,,,0.031481496,-0.400000042,1.0,0.0,0.0,47.1183,endtext,space,2.1736,0.0,3.0,3.0,32.0,1.0,NC3_Images_Replacement3(Nomate).png,no
,,30,1,2024-02-28_19h23.40.043,FamTaskFinal,2022.2.4,Win32,61.34969325,,,,,,,,,,,,0.039814843,-0.386111153,1.0,0.0,0.0,39.3159,endtext,space,1.907,0.0,4.0,4.0,37.0,1.0,NC5_Images_EasyPosition2(Nomate).png,no
,,30,1,2024-02-28_19h23.40.043,FamTaskFinal,2022.2.4,Win32,61.34969325,,,,,,,,,,,,0.030555584,-0.39444443,1.0,0.0,0.0,32.545,endtext,space,3.0334,0.0,5.0,5.0,31.0,1.0,NC3_Images_TylorWinter(Nomate).png,no
,,30,1,2024-02-28_19h23.40.043,FamTaskFinal,2022.2.4,Win32,61.34969325,,,,,,,,,,,Ba6,0.003703718,-0.407407407,1.0,0.0,0.0,14.7231,endtext,space,2.549,0.0,6.0,6.0,18.0,1.0,C5_Images_EasyPosition5(Reversed).png,Yes
,,30,1,2024-02-28_19h23.40.043,FamTaskFinal,2022.2.4,Win32,61.34969325,,,,,,,,,,,Qh7,-0.056481467,-0.407407407,1.0,0.0,0.0,33.9306,endtext,space,2.4063,0.0,7.0,7.0,11.0,1.0,C3_Images_TylorWinter.png,Yes
,,30,1,2024-02-28_19h23.40.043,FamTaskFinal,2022.2.4,Win32,61.34969325,,,,,,,,,,,Ng6,-0.010185171,-0.39444443,1.0,0.0,0.0,21.5107,endtext,space,47.2743,0.0,8.0,8.0,12.0,1.0,C3_Images_Replacement3.png,Yes
,,30,1,2024-02-28_19h23.40.043,FamTaskFinal,2022.2.4,Win32,61.34969325,,,,,,,,,,,,-0.006481453,-0.400925954,1.0,0.0,0.0,51.289,endtext,space,2.2563,0.0,9.0,9.0,36.0,1.0,NC4_Images_StrekalovskyShaposhlikov(Nomate).png,no
,,30,1,2024-02-28_19h23.40.043,FamTaskFinal,2022.2.4,Win32,61.34969325,,,,,,,,,,,Qc8,-0.044444402,-0.397222236,1.0,0.0,0.0,25.5608,endtext,space,3.8919,0.0,10.0,10.0,2.0,1.0,C1_Images_WinterFriede(Reversed).png,Yes
,,30,1,2024-02-28_19h23.40.043,FamTaskFinal,2022.2.4,Win32,61.34969325,,,,,,,,,,,Qe6,0.018518519,-0.396296325,1.0,0.0,0.0,39.8495,endtext,space,3.4404,0.0,11.0,11.0,1.0,1.0,C1_Images_SteinitzNN.png,Yes
,,30,1,2024-02-28_19h23.40.043,FamTaskFinal,2022.2.4,Win32,61.34969325,,,,,,,,,,,,0.011111153,-0.400000042,1.0,0.0,0.0,55.5737,endtext,space,2.0942,0.0,12.0,12.0,25.0,1.0,NC2_Images_SkujaRozenbergs(Nomate)(Reversed).png,no
,,30,1,2024-02-28_19h23.40.043,FamTaskFinal,2022.2.4,Win32,61.34969325,,,,,,,,,,,,0.009259259,-0.395370413,1.0,0.0,0.0,56.9393,endtext,space,7.8849,0.0,13.0,13.0,23.0,1.0,NC2_Images_KekhayovPetrov(Nomate)(Reversed).png,no
,,30,1,2024-02-28_19h23.40.043,FamTaskFinal,2022.2.4,Win32,61.34969325,,,,,,,,,,,,-0.034259231,-0.413888931,1.0,0.0,0.0,39.1052,endtext,space,1.8514,0.0,14.0,14.0,21.0,1.0,NC1_Images_SteinitzNN(Nomate).png,no
,,30,1,2024-02-28_19h23.40.043,FamTaskFinal,2022.2.4,Win32,61.34969325,,,,,,,,,,,,-0.041666667,-0.391666695,1.0,0.0,0.0,42.5346,endtext,space,1.7064,0.0,15.0,15.0,34.0,1.0,NC4_Images_BrankaWittwer(Nomate)(Reversed).png,no
,,30,1,2024-02-28_19h23.40.043,FamTaskFinal,2022.2.4,Win32,61.34969325,,,,,,,,,,,Ng5,-0.030555513,-0.40370369,1.0,0.0,0.0,24.6426,endtext,space,1.9032,0.0,16.0,16.0,13.0,1.0,C3_Images_Replacement5.png,Yes
