key_Instrc.keys,key_Instrc.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,key_Instrc2.keys,key_Instrc2.rt,key_resp_L.keys,key_resp_L.rt,spacebarpress.keys,spacebarpress.rt,consent_resp.keys,consent_resp.rt,key_resp_2.keys,key_resp_2.rt,checksequence.text,Mousetocontinue.x,Mousetocontinue.y,Mousetocontinue.leftButton,Mousetocontinue.midButton,Mousetocontinue.rightButton,Mousetocontinue.time,Mousetocontinue.clicked_name,key_resp_3.keys,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Experiment_try,Checkmate
space,36.5214,36,1,2024-03-27_11h11.02.456,FamTaskFinal,2022.2.4,Win32,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,36,1,2024-03-27_11h11.02.456,FamTaskFinal,2022.2.4,Win32,61.72839506,space,38.638,,,,,,,,,,,,,,,,,,,,,,,,,
,,36,1,2024-03-27_11h11.02.456,FamTaskFinal,2022.2.4,Win32,61.72839506,,,space,213.1219,,,,,,,,,,,,,,,,,,,,,,,
,,36,1,2024-03-27_11h11.02.456,FamTaskFinal,2022.2.4,Win32,61.72839506,,,,,space,44.2792,,,,,,,,,,,,,,,,,,,,,
,,36,1,2024-03-27_11h11.02.456,FamTaskFinal,2022.2.4,Win32,61.72839506,,,,,,,space,68.0995,,,,,,,,,,,,,,,,,,,
,,36,1,2024-03-27_11h11.02.456,FamTaskFinal,2022.2.4,Win32,61.72839506,,,,,,,,,space,27.0815,,,,,,,,,,,,,,,,,
,,36,1,2024-03-27_11h11.02.456,FamTaskFinal,2022.2.4,Win32,61.72839506,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,36,1,2024-03-27_11h11.02.456,FamTaskFinal,2022.2.4,Win32,61.72839506,,,,,,,,,,,Rd8,-0.058333291,-0.398148148,1.0,0.0,0.0,38.952,endtext,space,4.7512,0.0,0.0,0.0,6.0,1.0,C2_Images_Replacement4.png,Yes
,,36,1,2024-03-27_11h11.02.456,FamTaskFinal,2022.2.4,Win32,61.72839506,,,,,,,,,,,,0.00462963,-0.401851866,1.0,0.0,0.0,11.9712,endtext,space,2.5764,0.0,1.0,1.0,20.0,1.0,NC1_Images_Frombeautiful(Nomate).png,no
,,36,1,2024-03-27_11h11.02.456,FamTaskFinal,2022.2.4,Win32,61.72839506,,,,,,,,,,,,0.049074102,-0.276851866,1.0,0.0,0.0,35.6566,endtext,space,2.0021,0.0,2.0,2.0,27.0,1.0,NC3_Images_KazicVukovic(Nomate)(Reversed).png,no
,,36,1,2024-03-27_11h11.02.456,FamTaskFinal,2022.2.4,Win32,61.72839506,,,,,,,,,,,,-0.037037037,-0.400925954,1.0,0.0,0.0,33.3388,endtext,space,2.5879,0.0,3.0,3.0,29.0,1.0,NC3_Images_PodzerovKuntzevic(Nomate)(Reversed).png,no
,,36,1,2024-03-27_11h11.02.456,FamTaskFinal,2022.2.4,Win32,61.72839506,,,,,,,,,,,,-0.101851852,-0.407407407,1.0,0.0,0.0,29.5523,endtext,space,1.9342,0.0,4.0,4.0,38.0,1.0,NC5_Images_EasyPosition5(Nomate)(Reversed).png,no
,,36,1,2024-03-27_11h11.02.456,FamTaskFinal,2022.2.4,Win32,61.72839506,,,,,,,,,,,,-0.001851824,-0.40370369,1.0,0.0,0.0,20.389,endtext,space,1.7549,0.0,5.0,5.0,36.0,1.0,NC4_Images_StrekalovskyShaposhlikov(Nomate).png,no
,,36,1,2024-03-27_11h11.02.456,FamTaskFinal,2022.2.4,Win32,61.72839506,,,,,,,,,,,,-0.026851866,-0.409259302,1.0,0.0,0.0,58.5463,endtext,space,4.9045,0.0,6.0,6.0,3.0,1.0,C2_Images_KekhayovPetrov(Reversed).png,Yes
