key_Instrc.keys,key_Instrc.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,key_Instrc2.keys,key_Instrc2.rt,key_resp_L.keys,key_resp_L.rt,spacebarpress.keys,spacebarpress.rt,consent_resp.keys,consent_resp.rt,key_resp_2.keys,key_resp_2.rt,checksequence.text,Mousetocontinue.x,Mousetocontinue.y,Mousetocontinue.leftButton,Mousetocontinue.midButton,Mousetocontinue.rightButton,Mousetocontinue.time,Mousetocontinue.clicked_name,key_resp_3.keys,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Experiment_try,Checkmate
space,42.3339,9,1,2023-07-11_13h40.32.193,FamTaskFinal,2022.2.4,Win32,126.3902932,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,1,2023-07-11_13h40.32.193,FamTaskFinal,2022.2.4,Win32,126.3902932,space,45.2958,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,1,2023-07-11_13h40.32.193,FamTaskFinal,2022.2.4,Win32,126.3902932,,,space,89.5185,,,,,,,,,,,,,,,,,,,,,,,
,,9,1,2023-07-11_13h40.32.193,FamTaskFinal,2022.2.4,Win32,126.3902932,,,,,space,12.9765,,,,,,,,,,,,,,,,,,,,,
,,9,1,2023-07-11_13h40.32.193,FamTaskFinal,2022.2.4,Win32,126.3902932,,,,,,,space,49.5704,,,,,,,,,,,,,,,,,,,
,,9,1,2023-07-11_13h40.32.193,FamTaskFinal,2022.2.4,Win32,126.3902932,,,,,,,,,space,39.6851,,,,,,,,,,,,,,,,,
,,9,1,2023-07-11_13h40.32.193,FamTaskFinal,2022.2.4,Win32,126.3902932,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,9,1,2023-07-11_13h40.32.193,FamTaskFinal,2022.2.4,Win32,126.3902932,,,,,,,,,,,,0.013888889,-0.401851908,1.0,0.0,0.0,54.4926,endtext,space,12.4094,0.0,0.0,0.0,16.0,1.0,C4_Images_StrekalovskyShaposhlikov.png,Yes
,,9,1,2023-07-11_13h40.32.193,FamTaskFinal,2022.2.4,Win32,126.3902932,,,,,,,,,,,Qh7,0.0,-0.402777778,1.0,0.0,0.0,17.6253,endtext,space,12.1067,0.0,1.0,1.0,17.0,1.0,C5_Images_EasyPosition2.png,Yes
,,9,1,2023-07-11_13h40.32.193,FamTaskFinal,2022.2.4,Win32,126.3902932,,,,,,,,,,,,0.008333333,-0.414814843,1.0,0.0,0.0,35.969,endtext,space,9.6418,0.0,2.0,2.0,24.0,1.0,NC2_Images_KrauseMeinhardt(Nomate).png,no
