key_Instrc.keys,key_Instrc.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,key_Instrc2.keys,key_Instrc2.rt,key_resp_L.keys,key_resp_L.rt,spacebarpress.keys,spacebarpress.rt,consent_resp.keys,consent_resp.rt,key_resp_2.keys,key_resp_2.rt,checksequence.text,Mousetocontinue.x,Mousetocontinue.y,Mousetocontinue.leftButton,Mousetocontinue.midButton,Mousetocontinue.rightButton,Mousetocontinue.time,Mousetocontinue.clicked_name,key_resp_3.keys,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Experiment_try,Checkmate
space,20.7774,41,1,2024-05-02_08h48.19.033,FamTaskFinal,2022.2.4,Win32,20.04008016,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,41,1,2024-05-02_08h48.19.033,FamTaskFinal,2022.2.4,Win32,20.04008016,space,246.2109,,,,,,,,,,,,,,,,,,,,,,,,,
,,41,1,2024-05-02_08h48.19.033,FamTaskFinal,2022.2.4,Win32,20.04008016,,,space,5.9139,,,,,,,,,,,,,,,,,,,,,,,
,,41,1,2024-05-02_08h48.19.033,FamTaskFinal,2022.2.4,Win32,20.04008016,,,,,space,3.061,,,,,,,,,,,,,,,,,,,,,
,,41,1,2024-05-02_08h48.19.033,FamTaskFinal,2022.2.4,Win32,20.04008016,,,,,,,space,2.956,,,,,,,,,,,,,,,,,,,
,,41,1,2024-05-02_08h48.19.033,FamTaskFinal,2022.2.4,Win32,20.04008016,,,,,,,,,space,683.685,,,,,,,,,,,,,,,,,
,,41,1,2024-05-02_08h48.19.033,FamTaskFinal,2022.2.4,Win32,20.04008016,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,41,1,2024-05-02_08h48.19.033,FamTaskFinal,2022.2.4,Win32,20.04008016,,,,,,,,,,,,0.041349293,-0.426006529,1.0,0.0,0.0,59.7094,,space,26.5982,0.0,0.0,0.0,18.0,1.0,C5_Images_EasyPosition5(Reversed).png,Yes
,,41,1,2024-05-02_08h48.19.033,FamTaskFinal,2022.2.4,Win32,20.04008016,,,,,,,,,,,,0.007616975,-0.405331882,1.0,0.0,0.0,58.3987,endtext,space,20.2737,0.0,1.0,1.0,29.0,1.0,NC3_Images_PodzerovKuntzevic(Nomate)(Reversed).png,no
,,41,1,2024-05-02_08h48.19.033,FamTaskFinal,2022.2.4,Win32,20.04008016,,,,,,,,,,,,0.084874864,-0.398803047,1.0,0.0,0.0,57.0835,endtext,space,20.8233,0.0,2.0,2.0,13.0,1.0,C3_Images_Replacement5.png,Yes
,,41,1,2024-05-02_08h48.19.033,FamTaskFinal,2022.2.4,Win32,20.04008016,,,,,,,,,,,rg8,0.013057671,-0.404243743,1.0,0.0,0.0,50.1049,endtext,space,2.6084,0.0,3.0,3.0,15.0,1.0,C4_Images_IvanchukSavchenko(Reversed).png,Yes
,,41,1,2024-05-02_08h48.19.033,FamTaskFinal,2022.2.4,Win32,20.04008016,,,,,,,,,,,,,,,,,,,space,9.3725,0.0,4.0,4.0,10.0,1.0,C3_Images_StudybyErcoledelRio(Reversed).png,Yes
,,41,1,2024-05-02_08h48.19.033,FamTaskFinal,2022.2.4,Win32,20.04008016,,,,,,,,,,,,0.154515778,-0.403155604,1.0,0.0,0.0,52.9254,endtext,space,2.9045,0.0,5.0,5.0,30.0,1.0,NC3_Images_StudybyErcoleDelRio(Nomate)(Reversed).png,no
,,41,1,2024-05-02_08h48.19.033,FamTaskFinal,2022.2.4,Win32,20.04008016,,,,,,,,,,,,0.139281828,-0.40968444,1.0,0.0,0.0,55.4803,endtext,space,84.169,0.0,6.0,6.0,4.0,1.0,C2_Images_KrauseMeinhardt.png,Yes
,,41,1,2024-05-02_08h48.19.033,FamTaskFinal,2022.2.4,Win32,20.04008016,,,,,,,,,,,,0.071817193,-0.417301415,1.0,0.0,0.0,45.6208,endtext,space,2.5672,0.0,7.0,7.0,37.0,1.0,NC5_Images_EasyPosition2(Nomate).png,no
,,41,1,2024-05-02_08h48.19.033,FamTaskFinal,2022.2.4,Win32,20.04008016,,,,,,,,,,,qd7,-0.036996736,-0.387921654,1.0,0.0,0.0,57.2841,endtext,space,31.1047,0.0,8.0,8.0,2.0,1.0,C1_Images_WinterFriede(Reversed).png,Yes
,,41,1,2024-05-02_08h48.19.033,FamTaskFinal,2022.2.4,Win32,20.04008016,,,,,,,,,,,,0.150163221,-0.398803047,1.0,0.0,0.0,51.3143,endtext,space,3.5253,0.0,9.0,9.0,20.0,1.0,NC1_Images_Frombeautiful(Nomate).png,no
,,41,1,2024-05-02_08h48.19.033,FamTaskFinal,2022.2.4,Win32,20.04008016,,,,,,,,,,,,-0.036996736,-0.407508161,1.0,0.0,0.0,51.9291,endtext,space,2.7684,0.0,10.0,10.0,14.0,1.0,C4_Images_BrankaWittwer(Reversed).png,Yes
,,41,1,2024-05-02_08h48.19.033,FamTaskFinal,2022.2.4,Win32,20.04008016,,,,,,,,,,,,0.110990207,-0.405331882,1.0,0.0,0.0,57.0884,endtext,space,102.3332,0.0,11.0,11.0,11.0,1.0,C3_Images_TylorWinter.png,Yes
,,41,1,2024-05-02_08h48.19.033,FamTaskFinal,2022.2.4,Win32,20.04008016,,,,,,,,,,,,0.041349293,-0.403155604,1.0,0.0,0.0,57.4537,endtext,space,11.3541,0.0,12.0,12.0,38.0,1.0,NC5_Images_EasyPosition5(Nomate)(Reversed).png,no
