key_Instrc.keys,key_Instrc.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,key_Instrc2.keys,key_Instrc2.rt,key_resp_L.keys,key_resp_L.rt,spacebarpress.keys,spacebarpress.rt,consent_resp.keys,consent_resp.rt,key_resp_2.keys,key_resp_2.rt,checksequence.text,Mousetocontinue.x,Mousetocontinue.y,Mousetocontinue.leftButton,Mousetocontinue.midButton,Mousetocontinue.rightButton,Mousetocontinue.time,Mousetocontinue.clicked_name,key_resp_3.keys,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Experiment_try,Checkmate
space,24.9137,28,1,2024-02-25_11h52.11.790,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,28,1,2024-02-25_11h52.11.790,FamTaskFinal,2022.2.4,Win32,59.88023952,space,26.9295,,,,,,,,,,,,,,,,,,,,,,,,,
,,28,1,2024-02-25_11h52.11.790,FamTaskFinal,2022.2.4,Win32,59.88023952,,,space,37.2758,,,,,,,,,,,,,,,,,,,,,,,
,,28,1,2024-02-25_11h52.11.790,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,space,4.1333,,,,,,,,,,,,,,,,,,,,,
,,28,1,2024-02-25_11h52.11.790,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,space,30.8491,,,,,,,,,,,,,,,,,,,
,,28,1,2024-02-25_11h52.11.790,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,,,space,27.8108,,,,,,,,,,,,,,,,,
,,28,1,2024-02-25_11h52.11.790,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,28,1,2024-02-25_11h52.11.790,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,,,,,,0.000925926,-0.399074074,1.0,0.0,0.0,59.8379,endtext,space,3.7366,0.0,0.0,0.0,25.0,1.0,NC2_Images_SkujaRozenbergs(Nomate)(Reversed).png,no
,,28,1,2024-02-25_11h52.11.790,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,,,,,,0.071296296,-0.402777778,1.0,0.0,0.0,45.5183,endtext,space,1.9037,0.0,1.0,1.0,28.0,1.0,NC3_Images_MalininAndreev(Nomate)(Reversed).png,no
,,28,1,2024-02-25_11h52.11.790,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,,,,,,0.071296296,-0.402777778,1.0,0.0,0.0,45.6681,endtext,space,5.6101,0.0,2.0,2.0,29.0,1.0,NC3_Images_PodzerovKuntzevic(Nomate)(Reversed).png,no
,,28,1,2024-02-25_11h52.11.790,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,,,,,,0.012962963,-0.403703704,1.0,0.0,0.0,43.0024,endtext,space,1.3361,0.0,3.0,3.0,35.0,1.0,NC4_Images_IvanchukSavchenko(Nomate)(Reversed).png,no
,,28,1,2024-02-25_11h52.11.790,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,,,,,,0.011111111,-0.405555556,1.0,0.0,0.0,44.6248,endtext,space,2.9311,0.0,4.0,4.0,21.0,1.0,NC1_Images_SteinitzNN(Nomate).png,no
,,28,1,2024-02-25_11h52.11.790,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,,,,,,0.008333333,-0.408333333,1.0,0.0,0.0,46.1533,endtext,space,2.0168,0.0,5.0,5.0,31.0,1.0,NC3_Images_TylorWinter(Nomate).png,no
,,28,1,2024-02-25_11h52.11.790,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,,,,,Qh7,0.014814815,-0.403703704,1.0,0.0,0.0,58.2005,endtext,space,2.9251,0.0,6.0,6.0,11.0,1.0,C3_Images_TylorWinter.png,Yes
