key_Instrc.keys,key_Instrc.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,key_Instrc2.keys,key_Instrc2.rt,key_resp_L.keys,key_resp_L.rt,spacebarpress.keys,spacebarpress.rt,consent_resp.keys,consent_resp.rt,key_resp_2.keys,key_resp_2.rt,checksequence.text,Mousetocontinue.x,Mousetocontinue.y,Mousetocontinue.leftButton,Mousetocontinue.midButton,Mousetocontinue.rightButton,Mousetocontinue.time,Mousetocontinue.clicked_name,key_resp_3.keys,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Experiment_try,Checkmate
space,14.145,38,1,2024-04-23_10h57.38.186,FamTaskFinal,2022.2.4,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,38,1,2024-04-23_10h57.38.186,FamTaskFinal,2022.2.4,Win32,59.95203837,space,26.945,,,,,,,,,,,,,,,,,,,,,,,,,
,,38,1,2024-04-23_10h57.38.186,FamTaskFinal,2022.2.4,Win32,59.95203837,,,space,27.609,,,,,,,,,,,,,,,,,,,,,,,
,,38,1,2024-04-23_10h57.38.186,FamTaskFinal,2022.2.4,Win32,59.95203837,,,,,space,3.601,,,,,,,,,,,,,,,,,,,,,
,,38,1,2024-04-23_10h57.38.186,FamTaskFinal,2022.2.4,Win32,59.95203837,,,,,,,space,18.119,,,,,,,,,,,,,,,,,,,
,,38,1,2024-04-23_10h57.38.186,FamTaskFinal,2022.2.4,Win32,59.95203837,,,,,,,,,space,26.111,,,,,,,,,,,,,,,,,
,,38,1,2024-04-23_10h57.38.186,FamTaskFinal,2022.2.4,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,38,1,2024-04-23_10h57.38.186,FamTaskFinal,2022.2.4,Win32,59.95203837,,,,,,,,,,, ,-0.011589404,-0.400662252,1.0,0.0,0.0,46.9,endtext,space,1.999,0.0,0.0,0.0,26.0,1.0,NC2_Images_Replacement4(Nomate).png,no
,,38,1,2024-04-23_10h57.38.186,FamTaskFinal,2022.2.4,Win32,59.95203837,,,,,,,,,,,,0.024834437,-0.398454746,1.0,0.0,0.0,47.282,endtext,space,1.535,0.0,1.0,1.0,36.0,1.0,NC4_Images_StrekalovskyShaposhlikov(Nomate).png,no
,,38,1,2024-04-23_10h57.38.186,FamTaskFinal,2022.2.4,Win32,59.95203837,,,,,,,,,,,Qe7,0.046909492,-0.394039735,1.0,0.0,0.0,18.145,endtext,space,1.617,0.0,2.0,2.0,4.0,1.0,C2_Images_KrauseMeinhardt.png,Yes
,,38,1,2024-04-23_10h57.38.186,FamTaskFinal,2022.2.4,Win32,59.95203837,,,,,,,,,,, ,0.00607064,-0.40397351,1.0,0.0,0.0,55.017,endtext,space,5.435,0.0,3.0,3.0,34.0,1.0,NC4_Images_BrankaWittwer(Nomate)(Reversed).png,no
,,38,1,2024-04-23_10h57.38.186,FamTaskFinal,2022.2.4,Win32,59.95203837,,,,,,,,,,,Qxh7,0.004966887,-0.397350993,1.0,0.0,0.0,19.128,endtext,space,1.273,0.0,4.0,4.0,17.0,1.0,C5_Images_EasyPosition2.png,Yes
,,38,1,2024-04-23_10h57.38.186,FamTaskFinal,2022.2.4,Win32,59.95203837,,,,,,,,,,,Rg8,0.010485651,-0.399558499,1.0,0.0,0.0,6.392,endtext,space,0.85,0.0,5.0,5.0,0.0,1.0,C1_Images_Frombeautiful.png,Yes
,,38,1,2024-04-23_10h57.38.186,FamTaskFinal,2022.2.4,Win32,59.95203837,,,,,,,,,,,Qc8,0.071192053,-0.397350993,1.0,0.0,0.0,18.155,endtext,space,0.713,0.0,6.0,6.0,2.0,1.0,C1_Images_WinterFriede(Reversed).png,Yes
