key_Instrc.keys,key_Instrc.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,key_Instrc2.keys,key_Instrc2.rt,key_resp_L.keys,key_resp_L.rt,spacebarpress.keys,spacebarpress.rt,consent_resp.keys,consent_resp.rt,key_resp_2.keys,key_resp_2.rt,checksequence.text,Mousetocontinue.x,Mousetocontinue.y,Mousetocontinue.leftButton,Mousetocontinue.midButton,Mousetocontinue.rightButton,Mousetocontinue.time,Mousetocontinue.clicked_name,key_resp_3.keys,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Experiment_try,Checkmate
space,655.4017,32,1,2024-03-21_10h28.01.999,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32,1,2024-03-21_10h28.01.999,FamTaskFinal,2022.2.4,Win32,59.88023952,space,104.2182,,,,,,,,,,,,,,,,,,,,,,,,,
,,32,1,2024-03-21_10h28.01.999,FamTaskFinal,2022.2.4,Win32,59.88023952,,,space,13.1036,,,,,,,,,,,,,,,,,,,,,,,
,,32,1,2024-03-21_10h28.01.999,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,space,3.2247,,,,,,,,,,,,,,,,,,,,,
,,32,1,2024-03-21_10h28.01.999,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,space,498.5132,,,,,,,,,,,,,,,,,,,
,,32,1,2024-03-21_10h28.01.999,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,,,space,209.9154,,,,,,,,,,,,,,,,,
,,32,1,2024-03-21_10h28.01.999,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32,1,2024-03-21_10h28.01.999,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,,,,,,-0.011111083,-0.395370413,1.0,0.0,0.0,55.7742,endtext,space,13.9676,0.0,0.0,0.0,23.0,1.0,NC2_Images_KekhayovPetrov(Nomate)(Reversed).png,no
,,32,1,2024-03-21_10h28.01.999,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,,,,,Nc6,,,,,,,,space,14.7483,0.0,1.0,1.0,10.0,1.0,C3_Images_StudybyErcoledelRio(Reversed).png,Yes
,,32,1,2024-03-21_10h28.01.999,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,,,,,Nf7,-0.00462963,-0.404629672,1.0,0.0,0.0,58.8028,endtext,space,3.6982,0.0,2.0,2.0,19.0,1.0,C5_Images_EasyPosition6.png,Yes
,,32,1,2024-03-21_10h28.01.999,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,,,,,Rg7,,,,,,,,space,3.6683,0.0,3.0,3.0,35.0,1.0,NC4_Images_IvanchukSavchenko(Nomate)(Reversed).png,no
,,32,1,2024-03-21_10h28.01.999,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,,,,,,,,,,,,,space,8.5646,0.0,4.0,4.0,37.0,1.0,NC5_Images_EasyPosition2(Nomate).png,no
,,32,1,2024-03-21_10h28.01.999,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,,,,,Rc7,,,,,,,,space,8.5442,0.0,5.0,5.0,22.0,1.0,NC1_Images_WinterFriede(Nomate)(Reversed).png,no
,,32,1,2024-03-21_10h28.01.999,FamTaskFinal,2022.2.4,Win32,59.88023952,,,,,,,,,,,N,,,,,,,,space,34.0435,0.0,6.0,6.0,8.0,1.0,C3_Images_MalininAndreev(Reversed).png,Yes
