key_Instrc.keys,key_Instrc.rt,participant,session,date,expName,psychopyVersion,OS,frameRate,key_Instrc2.keys,key_Instrc2.rt,key_resp_L.keys,key_resp_L.rt,consent_resp.keys,consent_resp.rt,key_resp_2.keys,key_resp_2.rt,checksequence.text,Mousetocontinue.x,Mousetocontinue.y,Mousetocontinue.leftButton,Mousetocontinue.midButton,Mousetocontinue.rightButton,Mousetocontinue.time,Mousetocontinue.clicked_name,key_resp_3.keys,key_resp_3.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Experiment_try,Checkmate
,,3,1,2023-06-19_09h46.49.952,FamTaskFinal,2022.2.4,Win32,59.99160118,,,,,,,,,Nd7,-0.027777778,-0.393518575,1.0,0.0,0.0,22.9685,endtext,space,5.3153,0.0,16.0,16.0,10.0,1.0,C3_Images_StudybyErcoledelRio(Reversed).png,Yes
,,3,1,2023-06-19_09h46.49.952,FamTaskFinal,2022.2.4,Win32,59.99160118,,,,,,,,,Qf1,-0.013888889,-0.394444444,1.0,0.0,0.0,48.532,endtext,space,0.9327,0.0,17.0,17.0,22.0,1.0,NC1_Images_WinterFriede(Nomate)(Reversed).png,no
,,3,1,2023-06-19_09h46.49.952,FamTaskFinal,2022.2.4,Win32,59.99160118,,,,,,,,,Ng6,0.051851908,-0.399074131,1.0,0.0,0.0,27.105,endtext,space,0.8835,0.0,18.0,18.0,12.0,1.0,C3_Images_Replacement3.png,Yes
,,3,1,2023-06-19_09h46.49.952,FamTaskFinal,2022.2.4,Win32,59.99160118,,,,,,,,,Rg8,0.078703732,-0.404629686,1.0,0.0,0.0,51.9882,endtext,space,1.083,0.0,19.0,19.0,16.0,1.0,C4_Images_StrekalovskyShaposhlikov.png,Yes
,,3,1,2023-06-19_09h46.49.952,FamTaskFinal,2022.2.4,Win32,59.99160118,,,,,,,,,Rd8,0.045370399,-0.399074131,1.0,0.0,0.0,13.5432,endtext,space,0.7202,0.0,20.0,20.0,6.0,1.0,C2_Images_Replacement4.png,Yes
,,3,1,2023-06-19_09h46.49.952,FamTaskFinal,2022.2.4,Win32,59.99160118,,,,,,,,,Qc8,0.045370399,-0.399074131,1.0,0.0,0.0,10.7533,endtext,space,0.8334,0.0,21.0,21.0,2.0,1.0,C1_Images_WinterFriede(Reversed).png,Yes
,,3,1,2023-06-19_09h46.49.952,FamTaskFinal,2022.2.4,Win32,59.99160118,,,,,,,,,Qf6,0.045370399,-0.399074131,1.0,0.0,0.0,39.329,endtext,space,0.6648,0.0,22.0,22.0,36.0,1.0,NC4_Images_StrekalovskyShaposhlikov(Nomate).png,no
,,3,1,2023-06-19_09h46.49.952,FamTaskFinal,2022.2.4,Win32,59.99160118,,,,,,,,,Qe6,0.045370399,-0.399074131,1.0,0.0,0.0,7.7481,endtext,space,1.2831,0.0,23.0,23.0,1.0,1.0,C1_Images_SteinitzNN.png,Yes
,,3,1,2023-06-19_09h46.49.952,FamTaskFinal,2022.2.4,Win32,59.99160118,,,,,,,,,Ra8,-0.01851849,-0.412037065,1.0,0.0,0.0,17.5053,endtext,space,0.75,0.0,24.0,24.0,8.0,1.0,C3_Images_MalininAndreev(Reversed).png,Yes
,,3,1,2023-06-19_09h46.49.952,FamTaskFinal,2022.2.4,Win32,59.99160118,,,,,,,,,Pb4,0.046296353,-0.414814843,1.0,0.0,0.0,53.1375,endtext,space,0.5014,0.0,25.0,25.0,34.0,1.0,NC4_Images_BrankaWittwer(Nomate)(Reversed).png,no
